TRANS_NUM,Truck,Account,Commodity,Out Date/Time,Net Tons,Ticket Total
67679,154,154,I-2,6/1/2020 8:14,0.1,0
67680,1706comp,240,H1,6/1/2020 9:07,4.03,183.77
67682,154/1,154,H2,6/1/2020 9:40,0.1,0
67683,154/f150g,154,I-2,6/1/2020 10:03,0.26,0
67684,154/redr,154,I-2,6/1/2020 9:59,0.07,0
67685,154greench,154,I-2,6/1/2020 10:20,0.35,0
67686,154br250,154,H2,6/1/2020 10:00,0.12,0
67687,154wchevy,154,I-2,6/1/2020 10:13,0.3,0
67688,154wram,154,H2,6/1/2020 10:10,0.06,0
67689,1910-O,162,H-2,6/1/2020 10:09,2.83,0
67690,CoH2,154,I-2,6/1/2020 10:25,0.28,0
67691,1904,162,H-2,6/1/2020 10:30,4.37,0
67692,182/1706,240,H1,6/1/2020 11:24,0.59,26.9
67693,154blktund,154,I-2,6/1/2020 11:07,0.32,0
67694,182,154,H2,6/1/2020 11:32,0.67,0
67695,154ranw,154,H2,6/1/2020 11:36,0.04,0
67696,154w250,154,H2,6/1/2020 11:41,0.1,0
67697,154ems,154,H2,6/1/2020 11:42,0.2,0
67698,CoH2,154,I-2,6/1/2020 11:37,0.47,0
67699,154wram250,154,H2,6/1/2020 11:47,0.53,0
67701,154suv,154,H2,6/1/2020 11:49,0.02,0
67702,1910-C,162,H-2,6/1/2020 11:46,6.54,0
67703,154gram,154,H2,6/1/2020 12:17,0.41,0
67704,154wtund,154,H2,6/1/2020 12:18,0.2,0
67705,154redram,154,I-2,6/1/2020 12:33,0.35,0
67706,154blue350,154,H2,6/1/2020 12:16,0.03,0
67707,1 2 3,154,H-2,6/1/2020 12:11,2.23,0
67708,154bat,154,H2,6/1/2020 12:39,0.3,0
67709,182blkkr,154,H2,6/1/2020 12:39,3.42,0
67710,1905,162,H-2,6/1/2020 12:25,8.12,0
67711,238,238,DC,6/1/2020 12:27,0.63,28.73
67712,Renee 2,194,H1,6/1/2020 12:29,0.47,21.43
67713,154blkfor,154,H2,6/1/2020 12:45,0.08,0
67714,1910-O,162,H-2,6/1/2020 12:46,1.68,0
67715,154redtoy,154,H2,6/1/2020 12:53,0.29,0
67716,1907,162,H-2,6/1/2020 12:59,9.72,0
67717,154/wchevy,154,H2,6/1/2020 14:04,5.05,0
67718,182toy,182,DC,6/1/2020 13:39,1.02,46.51
67719,1904,162,H-2,6/1/2020 13:37,4.41,0
67720,154sivjeep,154,H2,6/1/2020 13:51,0.18,0
67721,154sivz71,154,I-2,6/1/2020 14:04,0.41,0
67722,154wchey,154,I-2,6/1/2020 14:46,0.34,0
67723,154blktund,154,I-2,6/1/2020 14:24,0.4,0
67724,1910-O,162,H-2,6/1/2020 14:08,3.42,0
67725,1891,173,H-3,6/1/2020 14:10,20.84,0
67726,182/wt,154,H2,6/1/2020 14:31,0.75,0
67727,1902,162,H-2,6/1/2020 14:32,5.78,0
67729,154blkchey,154,I-2,6/1/2020 14:54,1.2,0
67730,154redram,154,H2,6/1/2020 14:44,0.1,0
67731,1654whttoy,154,I-2,6/1/2020 14:50,0.04,0
67732,CoH2,154,I-2,6/1/2020 14:44,0.76,0
