TRANS_NUM,Truck,Account,Commodity,Out Date/Time,Net Tons,Ticket Total
97585,1706comp,240,H1,02/01/2022 08:03:29,2.41,109.9
97586,2664,173,H-3,02/01/2022 08:08:51,24.67,0
97587,154ram,154,H2,02/01/2022 08:22:06,0.06,0
97588,154150,154,H2,02/01/2022 08:38:27,0.1,0
97589,2679,173,H-3,02/01/2022 08:45:57,21,0
97590,182davis,182,H1,02/01/2022 08:57:13,1.61,73.42
97591,154blk,154,H2,02/01/2022 08:55:31,0.08,0
97592,1706JCG20,240,H1,02/01/2022 08:53:35,0.9,41.04
97593,182dump,182,H1,02/01/2022 09:04:47,1.71,77.98
97594,154van,154,H2,02/01/2022 09:13:41,0.09,0
97595,182gold,182,H1,02/01/2022 09:48:53,2.91,132.7
97596,154w,154,H2,02/01/2022 09:39:46,0.05,0
97597,182reh,182,DC,02/01/2022 10:30:11,1.3,59.28
97598,182red,182,DC,02/01/2022 10:33:05,0.15,6.84
97599,182fx4,182,DC,02/01/2022 10:36:39,0.12,5.47
97600,154stump,154,I-2,02/01/2022 11:26:51,6.58,0
97601,154w,154,H2,02/01/2022 10:58:09,0.15,0
97602,154white,154,H2,02/01/2022 11:02:00,0.2,0
97603,154trd,154,I-2,02/01/2022 11:26:02,0.25,0
97604,182fx4,182,DC,02/01/2022 11:31:08,1.02,46.51
97605,2497,173,H-3,02/01/2022 11:27:45,25.21,0
97606,182jimmy,182,DC,02/01/2022 11:45:58,2.36,107.62
97607,1925,162,H-2,02/01/2022 11:37:06,7.48,0
97608,154toy,154,I-2,02/01/2022 12:17:59,0.85,0
97609,154f,154,H2,02/01/2022 11:57:51,0.42,0
97610,2679,173,H-3,02/01/2022 11:58:55,24.49,0
97611,182davis,182,DC,02/01/2022 12:21:16,1.34,61.1
97612,154gtac/t,154,H2,02/01/2022 12:24:41,0.28,0
97613,154mgmc/t,154,I-2,02/01/2022 12:35:10,0.15,0
97614,154rf150,154,H2,02/01/2022 12:36:48,0.09,0
97615,154gccoo,154,H2,02/01/2022 12:44:56,0.18,0
97616,154gtaco,154,I-2,02/01/2022 13:00:11,0.71,0
97617,182reh,182,DC,02/01/2022 12:55:33,1.58,72.05
97618,154wtacom,154,H2,02/01/2022 12:48:08,0.11,0
97619,154sc1500,154,H2,02/01/2022 12:50:06,0.09,0
97620,1907,162,H-2,02/01/2022 12:48:48,8.6,0
97621,154bf150,182,DC,02/01/2022 13:11:55,0.13,5.93
97622,154rram,154,H2,02/01/2022 13:11:12,0.05,0
97623,154gram/,154,I-2,02/01/2022 13:19:30,0.49,0
97624,1924,162,H-2,02/01/2022 13:08:23,7.08,0
97625,1923,162,H-2,02/01/2022 13:17:15,9.22,0
97626,CoH2,154,I-2,02/01/2022 13:18:58,0.26,0
97627,154bf3350,154,DC,02/01/2022 13:28:17,0.15,6.84
97628,154gf/tr,154,I-2,02/01/2022 13:34:52,3.86,0
97629,154gccust,154,H2,02/01/2022 13:40:28,0.23,0
97630,154bram,154,H2,02/01/2022 13:43:58,0.4,0
97631,154bcs10,154,I-2,02/01/2022 14:00:48,0.05,0
97632,1905,162,H-2,02/01/2022 13:47:09,8.15,0
97633,154bf150/t,154,DC,02/01/2022 14:10:32,1.31,59.74
97634,1925,162,H-2,02/01/2022 14:02:09,2.04,0
97635,154bram/t,154,I-2,02/01/2022 14:19:37,0.29,0
97636,154bf150,154,H2,02/01/2022 14:13:16,0.04,0
97637,154wgmc,154,H2,02/01/2022 14:13:45,0.05,0
97638,154rtacom,154,I-2,02/01/2022 14:35:26,0.08,0
97639,154gfran,154,H2,02/01/2022 14:35:44,0.05,0
97640,154tundr,154,H2,02/01/2022 14:54:03,0.32,0
97641,154bl,154,H2,02/01/2022 14:57:50,0.13,0
97642,CoH2,154,I-2,02/01/2022 14:51:46,0.3,0
97643,154gjeep/,154,H2,02/01/2022 15:20:40,0.1,0
97644,154svan/t,154,H2,02/01/2022 15:24:29,0.26,0
97645,154wf250/t,154,DC,02/01/2022 15:25:45,0.33,15.05
97646,154wvan,154,H2,02/01/2022 15:43:28,0.65,0
97647,154wtund,154,H2,02/01/2022 15:25:29,0.02,0
97648,1906,162,H-2,02/01/2022 15:23:52,9.42,0
97649,182davis,182,H1,02/01/2022 15:41:22,1.2,54.72
97650,154bf150,182,DC,02/01/2022 15:39:36,0.17,7.75
97651,2679,173,H-3,02/01/2022 15:32:22,29.87,0
97652,154Wcz71,154,H2,02/01/2022 15:43:12,0.02,0
97653,182wf350/t,182,DC,02/01/2022 16:01:55,3.94,179.66
97654,154van/t,154,H2,02/01/2022 15:57:56,0.06,0
97655,154wf150,154,I-2,02/01/2022 16:04:46,0.23,0
97656,154scsil/t,182,DC,02/01/2022 16:12:24,3.85,175.56
97657,1001JCGCOM,240,H1,02/02/2022 08:05:43,2.76,125.86
97658,154wf350/t,154,H2,02/02/2022 08:22:12,0.05,0
97659,154wf250,154,H2,02/02/2022 08:53:25,0.05,0
97660,2679,173,H-3,02/02/2022 08:51:43,29.28,0
97661,154wx31/t,154,DC,02/02/2022 09:37:19,0.76,34.66
97663,154sc2500/,182,H1,02/02/2022 09:46:31,0.58,26.45
97664,154bf150,154,I-2,02/02/2022 09:53:17,0.15,0
97665,154wf250/,154,I-2,02/02/2022 10:12:23,0.17,0
97666,154sf150,154,H2,02/02/2022 10:15:12,0.01,0
97667,14g1500,154,I-2,02/02/2022 10:37:03,0.12,0
97668,182davis,182,H1,02/02/2022 10:34:36,1.23,56.09
97669,154wc3500/,154,H2,02/02/2022 10:36:53,0.17,0
97670,154mtita,154,I-2,02/02/2022 10:43:04,0.1,0
97671,154rf150/t,154,H2,02/02/2022 10:46:03,0.16,0
97672,154bf250,154,H2,02/02/2022 10:52:34,0.02,0
97673,154bccusto,182,DC,02/02/2022 11:08:36,0.56,25.54
97674,154b150,154,I-2,02/02/2022 11:05:54,0.12,0
97675,154sf450,154,H2,02/02/2022 11:08:01,1.37,0
97676,154mc1500/,154,I-2,02/02/2022 11:25:25,0.23,0
97677,154gc2500,154,H2,02/02/2022 11:18:28,0.04,0
97678,154g450,154,H2,02/02/2022 11:43:25,0.11,0
97679,154stund,154,H2,02/02/2022 11:47:24,0.3,0
97680,1925,162,H-2,02/02/2022 11:45:05,7.71,0
97681,2679,173,H-3,02/02/2022 12:00:12,33.25,0
97682,154stund/t,154,H2,02/02/2022 12:11:04,0.1,0
97683,1905,162,H-2,02/02/2022 12:13:42,6.47,0
97684,154gc1500,154,I-2,02/02/2022 12:31:06,0.09,0
97685,154btitan,154,H2,02/02/2022 12:36:23,0.03,0
97686,154bf150,154,H2,02/02/2022 12:44:29,0.05,0
97687,154rcar,154,H2,02/02/2022 12:51:03,0.02,0
97688,154bgmc,154,H2,02/02/2022 12:59:02,0.15,0
97689,154wrang,154,I-2,02/02/2022 13:10:18,0.16,0
97690,154wsilve,154,H2,02/02/2022 13:10:03,0.04,0
97691,1924,162,H-2,02/02/2022 13:17:14,5.62,0
97692,1907,162,H-2,02/02/2022 13:17:29,7.38,0
97693,182whiteva,182,DC,02/02/2022 13:31:32,1.74,79.34
97694,1923,162,H-2,02/02/2022 13:29:52,9.38,0
97695,1925,162,H-2,02/02/2022 13:38:36,1.36,0
97696,154mc1500/,154,I-2,02/02/2022 14:17:08,0.36,0
97697,1906,162,H-2,02/02/2022 14:10:02,8.39,0
97698,154mf150/t,154,H2,02/02/2022 14:28:58,0.11,0
97699,CoH2,154,I-2,02/02/2022 14:34:04,0.27,0
97700,154g2500,154,DC,02/02/2022 15:06:04,0.15,6.84
97701,154gc1500,154,I-2,02/02/2022 15:16:51,0.08,0
97702,154sf150/,154,I-2,02/02/2022 15:16:22,0.25,0
97707,238,238,DC,02/02/2022 15:14:55,0.39,17.78
97708,154bf150/t,154,H2,02/02/2022 16:02:32,0.42,0
97709,154stac,154,H2,02/02/2022 15:42:36,0.03,0
97710,1706JCGcom,240,H1,02/03/2022 08:01:23,2.08,94.85
97711,154sc,154,H2,02/03/2022 08:18:00,0.12,0
97712,154sf250/t,154,DC,02/03/2022 08:24:17,0.31,14.14
97714,154bf250,154,I-2,02/03/2022 08:27:30,0.11,0
97715,154blf250,154,DC,02/03/2022 08:27:48,0.23,10.49
97716,154rsil/t,154,H2,02/03/2022 08:49:03,0.02,0
97717,1921-C,162,H-2,02/03/2022 08:38:53,6.72,0
97718,182sc2500/,182,H1,02/03/2022 09:06:34,1.64,74.78
97719,154bcsil/t,154,H2,02/03/2022 09:26:26,0.14,0
97720,154wjeep/t,154,I-2,02/03/2022 09:32:36,0.14,0
97721,182wutil/t,239,DC,02/03/2022 09:19:19,1.5,68.4
97722,2679,173,H-3,02/03/2022 09:11:54,27.57,0
97723,Renne's 94,194,H1,02/03/2022 09:29:51,0.72,32.83
97724,154gsilv,154,H2,02/03/2022 09:41:05,0.08,0
97725,154bram/t,154,H2,02/03/2022 09:58:19,0.79,0
97726,154wgmc,154,DC,02/03/2022 09:53:10,0.12,5.47
97727,1706cal30,240,H1,02/03/2022 09:55:37,1.96,89.38
97728,154suv,154,H2,02/03/2022 10:21:05,0.07,0
97729,14bf250,154,I-2,02/03/2022 10:33:06,0.12,0
97730,154gtund,154,H2,02/03/2022 10:35:10,0.03,0
97731,CoH2,154,I-2,02/03/2022 10:36:49,0.27,0
97732,154wf150/t,154,DC,02/03/2022 10:45:06,0.07,3.19
97733,154wvan,154,DC,02/03/2022 11:33:44,1.17,53.35
97735,1921-O,162,H-2,02/03/2022 11:25:34,4.11,0
97736,1921-C,162,H-2,02/03/2022 11:27:05,7.43,0
97737,154wsuv,154,H2,02/03/2022 11:39:25,0,0
97738,1 2 3,154,H-2,02/03/2022 11:38:16,1.33,0
97739,154wgmc/t,154,H2,02/03/2022 12:04:38,0.25,0
97740,154wf150,154,H2,02/03/2022 12:44:06,0.15,0
97741,154bram/t,154,H2,02/03/2022 12:11:11,0.33,0
97742,154yram,154,H2,02/03/2022 12:24:53,0.04,0
97743,2679,173,H-3,02/03/2022 12:32:58,24.2,0
97744,154kai,154,H2,02/03/2022 12:38:17,0,0
97745,1539prison,154,H2,02/03/2022 12:45:47,0.23,0
97746,154bf350,182,DC,02/03/2022 12:47:54,0.11,5.02
97747,154bf150/,154,DC,02/03/2022 12:55:32,0.86,39.22
97748,1923,162,H-2,02/03/2022 13:05:54,7.47,0
97749,1905,162,H-2,02/03/2022 13:06:40,6.3,0
97750,154bpower,154,H2,02/03/2022 13:18:35,0.03,0
97751,154rtoy,154,H2,02/03/2022 13:32:41,0.02,0
97752,154mram/,154,H2,02/03/2022 13:36:15,0.25,0
97753,1907,162,H-2,02/03/2022 13:30:38,6.4,0
97754,1925,162,H-2,02/03/2022 13:33:11,5.75,0
97755,1905,162,H-2,02/03/2022 13:44:28,10.89,0
97756,1921-O,162,H-2,02/03/2022 14:07:47,2.64,0
97757,1921-I,162,I-2,02/03/2022 14:08:18,2.49,0
97758,154wf150,154,DC,02/03/2022 15:40:05,0.53,24.17
97759,154mf250/t,154,H2,02/03/2022 15:42:10,0.87,0
97760,154wdak,154,H2,02/03/2022 16:03:54,0.11,0
97761,2679,173,H-3,02/03/2022 15:58:12,27.02,0
97762,1001JCGCOM,240,H1,02/04/2022 08:12:10,3.63,165.53
97763,182binther,182,I-1,02/04/2022 08:50:02,6.79,122.22
97764,1921-O,162,H2,02/04/2022 08:33:01,0.31,0
97765,2679,173,H-3,02/04/2022 09:02:47,29.76,0
97767,1001JCG20y,240,H1,02/04/2022 09:18:57,1.14,51.98
97768,154bfran/t,154,H2,02/04/2022 09:42:44,0.31,0
97769,154wjeep/,154,H2,02/04/2022 09:43:07,0.65,0
97770,154wram/t,154,H2,02/04/2022 09:47:20,0.5,0
97771,154g/t,154,H2,02/04/2022 09:41:45,0.01,0
97772,154wcz71,154,H2,02/04/2022 09:52:56,0.12,0
97773,1926-c,162,H-2,02/04/2022 09:59:50,6.5,0
97774,154rcsilv/,154,H2,02/04/2022 11:12:25,0.45,0
97775,154bcz71,154,H2,02/04/2022 11:12:54,0.27,0
97776,1926 C,162,H-2,02/04/2022 11:18:28,1.07,0
97777,1001CAL30,240,H1,02/04/2022 11:29:04,0.92,41.95
97778,182davis,182,H1,02/04/2022 11:39:12,0.52,23.71
97779,154sgmc/t,182,DC,02/04/2022 12:02:10,0.25,11.4
97780,154stita,154,I-2,02/04/2022 12:09:55,0.2,0
97781,1905,162,H-2,02/04/2022 12:17:53,8.6,0
97782,154gram,154,H2,02/04/2022 12:32:47,0.05,0
97783,154bram,154,H2,02/04/2022 12:35:22,0.2,0
