TRANS_NUM,Truck,Account,Commodity,Out Date/Time,Net Tons,Ticket Total
77160,154,154,H-2,01/02/2021 14:27:10,0.1,0
77161,toy,154,I-2,01/02/2021 15:13:31,0.45,0
77162,Ram,154,H2,01/02/2021 14:55:17,0.1,0
77163,154red,154,H2,01/02/2021 15:02:17,0.05,0
77164,mohr,154,H2,01/02/2021 15:16:49,0,0
77165,1706comp,240,H1,01/04/2021 08:10:30,2.25,102.6
77166,154,182,H2,01/04/2021 08:37:24,0.14,0
77167,1542,154,H2,01/04/2021 08:39:47,0.43,0
77168,154,154,H-2,01/04/2021 08:57:11,0.41,0
77169,brendan,154,H2,01/04/2021 09:07:02,0.24,0
77170,154,154,I-2,01/04/2021 09:17:01,0.1,0
77171,SHILOH,154,I-2,01/04/2021 09:19:18,2.42,0
77172,182,182,DC,01/04/2021 09:37:41,0.24,10.94
77173,154,154,H-2,01/04/2021 09:43:24,0.13,0
77174,154blu,154,H2,01/04/2021 09:45:19,0.03,0
77175,guss,182,DC,01/04/2021 09:49:55,0.46,20.98
77176,1706comp,240,H1,01/04/2021 09:46:31,4.54,207.02
77177,154,154,H-2,01/04/2021 10:11:37,0.15,0
77192,SHILOH,154,I-2,01/04/2021 12:09:27,2.26,0
77193,out154,154,H2,01/04/2021 12:25:07,0.55,0
77194,348154,154,H2,01/04/2021 12:26:51,0.23,0
77195,1905,162,H-2,01/04/2021 12:18:15,6.61,0
77196,1 2 3,154,H-2,01/04/2021 12:19:52,2.58,0
77197,Car154,154,H2,01/04/2021 13:05:01,0.22,0
77198,154,154,H-2,01/04/2021 12:37:07,0.26,0
77199,nav,154,Davis son,01/04/2021 12:34:04,0.28,0
77200,1912 ,162,H-2,01/04/2021 12:29:53,4.47,0
77201,CoH2,154,I-2,01/04/2021 12:30:40,0.39,0
77202,1920,162,H-2,01/04/2021 12:36:11,3.3,0
77203,154,154,H-2,01/04/2021 13:01:31,0.13,0
77204,182,182,DC,01/04/2021 13:08:17,0.18,8.21
77205,154,154,H-2,01/04/2021 13:15:22,0.14,0
77206,1902,162,H-2,01/04/2021 13:20:44,11.44,0
77207,154,154,H-2,01/04/2021 13:33:17,0.13,0
77208,414154,154,H2,01/04/2021 13:52:12,0.88,0
77209,1921-O,162,H-2,01/04/2021 13:32:18,3.02,0
77228,1906,162,H-2,01/04/2021 15:11:12,11.18,0
77229,182,182,DC,01/04/2021 15:40:42,0.45,20.52
77230,Ram,154,H2,01/04/2021 15:47:30,0.42,0
77231,1902,162,H-2,01/04/2021 15:14:43,1.89,0
77232,182red,182,DC,01/04/2021 16:18:41,4.61,210.22
77233,navy,182,DC,01/04/2021 15:54:59,0.5,22.8
77234,1221,173,H-3,01/05/2021 08:03:39,26.32,0
77235,1895,173,H-3,01/05/2021 08:23:41,27.31,0
77236,1706comp,240,H1,01/05/2021 08:31:42,3.09,140.9
77237,154,154,I-2,01/05/2021 09:10:11,0.44,0
77238,154,154,H2,01/05/2021 09:22:48,0.23,0
77239,SHILOH,154,I-2,01/05/2021 09:30:29,2.52,0
77240,Co H 3,154,H-2,01/05/2021 09:45:50,0.19,0
77241,154red,154,I-2,01/05/2021 10:14:01,1.18,0
77242,154chevy,154,H2,01/05/2021 10:06:19,0.02,0
77243,1542,154,I-2,01/05/2021 10:25:43,0.15,0
77244,Carslie,120,DC,01/05/2021 10:15:20,1.08,49.25
77245,1921-C,162,H-2,01/05/2021 10:19:46,8.64,0
77122,1891,173,H-3,01/02/2021 08:18:07,23.08,0
77123,154,154,H-2,01/02/2021 08:26:54,0.07,0
77124,154,154,H-2,01/02/2021 09:29:25,0.05,0
77125,154,154,H-2,01/02/2021 09:56:20,0.05,0
77126,154,154,H-2,01/02/2021 10:15:20,0.11,0
77127,Renee 2,194,H1,01/02/2021 10:05:55,0.56,25.54
77210,Renee 2,194,H1,01/04/2021 13:34:13,0.41,18.7
77211,f150,154,H2,01/04/2021 13:50:06,0.05,0
77212,CoH2,154,I-2,01/04/2021 13:38:19,0.31,0
77213,1904,162,H-2,01/04/2021 13:41:25,6.41,0
77214,1895,173,H-3,01/04/2021 13:45:14,20.7,0
77215,154,154,H-2,01/04/2021 13:56:55,0.07,0
77216,1542,154,H2,01/04/2021 14:00:18,0.17,0
