TRANS_NUM,Truck,Account,Commodity,Out Date/Time,Net Tons,Ticket Total
97657,1001JCGCOM,240,H1,02/02/2022 08:05:43,2.76,125.86
97658,154wf350/t,154,H2,02/02/2022 08:22:12,0.05,0
97659,154wf250,154,H2,02/02/2022 08:53:25,0.05,0
97660,2679,173,H-3,02/02/2022 08:51:43,29.28,0
97661,154wx31/t,154,DC,02/02/2022 09:37:19,0.76,34.66
97663,154sc2500/,182,H1,02/02/2022 09:46:31,0.58,26.45
97664,154bf150,154,I-2,02/02/2022 09:53:17,0.15,0
97665,154wf250/,154,I-2,02/02/2022 10:12:23,0.17,0
97666,154sf150,154,H2,02/02/2022 10:15:12,0.01,0
97667,14g1500,154,I-2,02/02/2022 10:37:03,0.12,0
97668,182davis,182,H1,02/02/2022 10:34:36,1.23,56.09
97669,154wc3500/,154,H2,02/02/2022 10:36:53,0.17,0
97670,154mtita,154,I-2,02/02/2022 10:43:04,0.1,0
97671,154rf150/t,154,H2,02/02/2022 10:46:03,0.16,0
97672,154bf250,154,H2,02/02/2022 10:52:34,0.02,0
97673,154bccusto,182,DC,02/02/2022 11:08:36,0.56,25.54
97674,154b150,154,I-2,02/02/2022 11:05:54,0.12,0
97675,154sf450,154,H2,02/02/2022 11:08:01,1.37,0
97676,154mc1500/,154,I-2,02/02/2022 11:25:25,0.23,0
97677,154gc2500,154,H2,02/02/2022 11:18:28,0.04,0
97678,154g450,154,H2,02/02/2022 11:43:25,0.11,0
97707,238,238,DC,02/02/2022 15:14:55,0.39,17.78
97708,154bf150/t,154,H2,02/02/2022 16:02:32,0.42,0
97709,154stac,154,H2,02/02/2022 15:42:36,0.03,0
97710,1706JCGcom,240,H1,02/03/2022 08:01:23,2.08,94.85
97711,154sc,154,H2,02/03/2022 08:18:00,0.12,0
97712,154sf250/t,154,DC,02/03/2022 08:24:17,0.31,14.14
97714,154bf250,154,I-2,02/03/2022 08:27:30,0.11,0
97715,154blf250,154,DC,02/03/2022 08:27:48,0.23,10.49
97716,154rsil/t,154,H2,02/03/2022 08:49:03,0.02,0
97717,1921-C,162,H-2,02/03/2022 08:38:53,6.72,0
97718,182sc2500/,182,H1,02/03/2022 09:06:34,1.64,74.78
97719,154bcsil/t,154,H2,02/03/2022 09:26:26,0.14,0
97720,154wjeep/t,154,I-2,02/03/2022 09:32:36,0.14,0
97721,182wutil/t,239,DC,02/03/2022 09:19:19,1.5,68.4
97722,2679,173,H-3,02/03/2022 09:11:54,27.57,0
97723,Renne's 94,194,H1,02/03/2022 09:29:51,0.72,32.83
97724,154gsilv,154,H2,02/03/2022 09:41:05,0.08,0
97725,154bram/t,154,H2,02/03/2022 09:58:19,0.79,0
97726,154wgmc,154,DC,02/03/2022 09:53:10,0.12,5.47
97762,1001JCGCOM,240,H1,02/04/2022 08:12:10,3.63,165.53
97763,182binther,182,I-1,02/04/2022 08:50:02,6.79,122.22
97764,1921-O,162,H2,02/04/2022 08:33:01,0.31,0
97765,2679,173,H-3,02/04/2022 09:02:47,29.76,0
97767,1001JCG20y,240,H1,02/04/2022 09:18:57,1.14,51.98
97768,154bfran/t,154,H2,02/04/2022 09:42:44,0.31,0
97769,154wjeep/,154,H2,02/04/2022 09:43:07,0.65,0
97770,154wram/t,154,H2,02/04/2022 09:47:20,0.5,0
97963,1001JCG20y,240,H1,02/08/2022 09:01:42,1.24,56.54
97964,154mtund,154,H2,02/08/2022 09:44:42,0.08,0
97965,154wf350,154,H2,02/08/2022 09:54:21,0.02,0
97966,154van,154,H2,02/08/2022 10:14:16,0.18,0
97967,154bsuv,154,H2,02/08/2022 10:14:50,0.09,0
97968,154bf150,154,H2,02/08/2022 10:41:28,0.09,0
97969,154mtoy,154,H2,02/08/2022 10:52:12,0.05,0
97970,154bl,154,I-2,02/08/2022 10:59:16,0.12,0
97971,PineMtWate,159,H2,02/08/2022 10:56:07,0.13,0
97972,154bjeep/,154,H2,02/08/2022 11:10:57,0.42,0
97973,154wrang,154,H2,02/08/2022 11:09:29,0.04,0
97974,154mf150/t,154,I-2,02/08/2022 11:23:37,0.16,0
97975,154yukon./,154,H2,02/08/2022 11:22:47,0.27,0
